2025-11-24 07:03:39,148 - URL: https://beebrilliantmarketing.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 3 | Emails: 0 | Phones: 11 | Confidence: 0.55 | LoadTime: 1.16s | Reason: Success
2025-11-24 07:03:39,792 - URL: https://graybox.co | Status: success | Mode: js_rendering | Retries: 1 | Pages: 2 | Emails: 4 | Phones: 110 | Confidence: 0.68 | LoadTime: 3.40s | Reason: Success
2025-11-24 07:03:41,374 - URL: https://cornerstone.studio | Status: success | Mode: js_rendering | Retries: 1 | Pages: 2 | Emails: 0 | Phones: 36 | Confidence: 0.45 | LoadTime: 1.18s | Reason: Success
2025-11-24 07:03:43,244 - URL: https://sparkagency.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 2 | Phones: 19 | Confidence: 0.69 | LoadTime: 1.22s | Reason: Success
2025-11-24 07:03:44,278 - URL: https://bigwestmarketing.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 0 | Phones: 6 | Confidence: 0.45 | LoadTime: 1.58s | Reason: Success
2025-11-24 07:03:44,866 - URL: https://thewebdesigninc.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 1 | Phones: 10 | Confidence: 0.68 | LoadTime: 1.09s | Reason: Success
2025-11-24 07:03:48,683 - URL: https://digitalmarketinggroup.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 1 | Phones: 17 | Confidence: 0.57 | LoadTime: 1.29s | Reason: Success
2025-11-24 07:03:49,857 - URL: https://websolutionagency.co | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 3 | Phones: 17 | Confidence: 0.59 | LoadTime: 3.87s | Reason: Success
2025-11-24 07:03:50,978 - URL: https://triodash.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 0 | Phones: 3 | Confidence: 0.44 | LoadTime: 1.00s | Reason: Success
2025-11-24 07:03:58,141 - URL: https://lyfemarketing.com | Status: success | Mode: hard_mode | Retries: 2 | Pages: 1 | Emails: 1 | Phones: 164 | Confidence: 0.53 | LoadTime: 2.18s | Reason: Success
2025-11-24 07:03:59,971 - URL: https://graybox.co/blog | Status: success | Mode: js_rendering | Retries: 0 | Pages: 2 | Emails: 2 | Phones: 93 | Confidence: 0.58 | LoadTime: 3.89s | Reason: Success
2025-11-24 07:04:24,069 - URL: https://elymant.com | Status: success | Mode: js_rendering | Retries: 0 | Pages: 2 | Emails: 1 | Phones: 43 | Confidence: 0.59 | LoadTime: 3.71s | Reason: Success
2025-11-24 07:10:10,313 - URL: https://cosmarketingagency.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 3 | Phones: 27 | Confidence: 0.67 | LoadTime: 2.00s | Reason: Success
2025-11-24 07:10:11,415 - URL: https://thriveagency.com | Status: success | Mode: js_rendering | Retries: 0 | Pages: 2 | Emails: 6 | Phones: 46 | Confidence: 0.86 | LoadTime: 1.54s | Reason: Success
2025-11-24 07:10:12,588 - URL: https://smp.com.np | Status: success | Mode: fast_html | Retries: 0 | Pages: 5 | Emails: 0 | Phones: 48 | Confidence: 0.75 | LoadTime: 1.09s | Reason: Success
2025-11-24 07:10:15,565 - URL: https://beebrilliantmarketing.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 3 | Emails: 0 | Phones: 11 | Confidence: 0.55 | LoadTime: 0.42s | Reason: Success
2025-11-24 07:10:17,574 - URL: https://wizonbiz.com | Status: success | Mode: js_rendering | Retries: 0 | Pages: 2 | Emails: 1 | Phones: 24 | Confidence: 0.66 | LoadTime: 0.69s | Reason: Success
2025-11-24 07:10:17,926 - URL: https://graybox.co | Status: success | Mode: js_rendering | Retries: 0 | Pages: 2 | Emails: 4 | Phones: 112 | Confidence: 0.70 | LoadTime: 3.46s | Reason: Success
2025-11-24 07:10:21,509 - URL: https://sparkagency.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 2 | Phones: 19 | Confidence: 0.69 | LoadTime: 0.93s | Reason: Success
2025-11-24 07:10:21,541 - URL: https://pedaladvertising.com | Status: success | Mode: js_rendering | Retries: 0 | Pages: 1 | Emails: 0 | Phones: 13 | Confidence: 0.45 | LoadTime: 0.80s | Reason: Success
2025-11-24 07:10:24,279 - URL: https://bigwestmarketing.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 0 | Phones: 6 | Confidence: 0.45 | LoadTime: 1.72s | Reason: Success
2025-11-24 07:10:25,679 - URL: https://websolutionagency.co | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 3 | Phones: 17 | Confidence: 0.59 | LoadTime: 0.39s | Reason: Success
2025-11-24 07:10:26,105 - URL: https://thewebdesigninc.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 1 | Phones: 10 | Confidence: 0.68 | LoadTime: 1.30s | Reason: Success
2025-11-24 07:10:29,679 - URL: https://digitalmarketinggroup.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 1 | Phones: 17 | Confidence: 0.57 | LoadTime: 1.23s | Reason: Success
2025-11-24 07:10:32,445 - URL: https://triodash.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 0 | Phones: 3 | Confidence: 0.44 | LoadTime: 1.05s | Reason: Success
2025-11-24 07:10:33,732 - URL: https://cornerstone.studio | Status: success | Mode: hard_mode | Retries: 2 | Pages: 2 | Emails: 0 | Phones: 31 | Confidence: 0.39 | LoadTime: 1.25s | Reason: Success
2025-11-24 07:10:40,904 - URL: https://elymant.com | Status: success | Mode: js_rendering | Retries: 0 | Pages: 2 | Emails: 1 | Phones: 43 | Confidence: 0.59 | LoadTime: 3.62s | Reason: Success
2025-11-24 07:10:42,756 - URL: https://graybox.co/blog | Status: success | Mode: js_rendering | Retries: 0 | Pages: 2 | Emails: 2 | Phones: 87 | Confidence: 0.58 | LoadTime: 3.96s | Reason: Success
2025-11-24 07:10:44,584 - URL: https://lyfemarketing.com | Status: success | Mode: hard_mode | Retries: 2 | Pages: 1 | Emails: 1 | Phones: 164 | Confidence: 0.53 | LoadTime: 2.33s | Reason: Success
2025-11-24 07:15:45,152 - URL: https://graybox.co | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 4 | Phones: 78 | Confidence: 0.72 | LoadTime: 0.00s | Reason: Success
2025-11-24 07:15:46,230 - URL: https://cosmarketingagency.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 3 | Phones: 26 | Confidence: 0.67 | LoadTime: 0.00s | Reason: Success
2025-11-24 07:15:46,831 - URL: https://wizonbiz.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 1 | Phones: 27 | Confidence: 0.68 | LoadTime: 0.00s | Reason: Success
2025-11-24 07:15:47,076 - URL: https://thriveagency.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 6 | Phones: 46 | Confidence: 0.88 | LoadTime: 0.00s | Reason: Success
2025-11-24 07:15:47,163 - URL: https://intuitivedigital.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 0 | Phones: 16 | Confidence: 0.53 | LoadTime: 0.00s | Reason: Success
